São Paulo;11253503
Guarulhos;1221979
Campinas;1080113
São Bernardo do Campo;765463
São José dos Campos;629921
Santo André;676407
Ribeirão Preto;604682
Osasco;666740
Sorocaba;586625
Mauá;417064
São José do Rio Preto;408258
Mogi das Cruzes;387779
Santos;419400
Diadema;386089
Jundiaí;370126
Piracicaba;364571
Carapicuíba;369584
Bauru;343937
Itaquaquecetuba;321770
São Vicente;332445
Franca;318640
Praia Grande;262051
Guarujá;290752
Taubaté;278686
Limeira;276022
Suzano;262480
Taboão da Serra;244528
Sumaré;241311
Barueri;240749
Embu das Artes;240230
São Carlos;221950
Indaiatuba;201619
Cotia;201150
Americana;229322
Marília;216745
Itapevi;200769
Araraquara;208662
Jacareí;211214
Hortolândia;192692
Presidente Prudente;207610
Rio Claro;186253
Araçatuba;181579
Ferraz de Vasconcelos;168306
Santa Bárbara d'Oeste;180009
Francisco Morato;154472
Itapecerica da Serra;152614
Itu;154147
Bragança Paulista;146744
Pindamonhangaba;146995
Itapetininga;144377
São Caetano do Sul;149263
Franco da Rocha;131604
Mogi Guaçu;137245
Jaú;131040
Botucatu;127328
Atibaia;126603
Santana de Parnaíba;108813
Araras;118843
Cubatão;118720
Valinhos;106793
Sertãozinho;110074
Jandira;108344
Birigüi;108728
Ribeirão Pires;113068
Votorantim;108809
Barretos;112101
Catanduva;112820
Várzea Paulista;107089
Guaratinguetá;112072
Tatuí;107326
Caraguatatuba;100840
Itatiba;101471
Salto;105516
Poá;106013
Ourinhos;103035
Paulínia;82146
Assis;95144
Leme;91756
Itanhaém;87057
Caieiras;86529
Mairiporã;80956
Votuporanga;84692
Itapeva;87753
Caçapava;84752
Mogi Mirim;86505
São João da Boa Vista;83639
São Roque;78821
Ubatuba;78801
Avaré;82934
Arujá;74905
São Sebastião;73942
Lorena;82537
Campo Limpo Paulista;74074
Matão;76786
Cruzeiro;77039
Ibiúna;71217
Vinhedo;63611
Lins;71432
Bebedouro;75035
Jaboticabal;71662
Cajamar;64114
Pirassununga;70081
Itapira;68537
Cosmópolis;58827
Amparo;65829
Embu-Guaçu;62769
Fernandópolis;64696
Mococa;66290
Lençóis Paulista;61428
Peruíbe;59773
Tupã;63476
Penápolis;58510
Bertioga;47645
Batatais;56476
Itupeva;44859
Boituva;48314
Nova Odessa;51242
Ibitinga;53158
Mirassol;53792
Monte Mor;48949
Jaguariúna;44311
Santa Isabel;50453
Taquaritinga;53988
Andradina;55334
Mongaguá;46293
Registro;54261
Porto Ferreira;51400
Capivari;48576
Piedade;52143
São José do Rio Pardo;51900
Olímpia;50024
Artur Nogueira;44177
Porto Feliz;48893
Vargem Grande Paulista;42997
Campos do Jordão;47789
São Joaquim da Barra;46512
Rio Grande da Serra;43974
Itararé;47934
Monte Alto;46642
Pontal;40244
Cabreúva;41604
Jales;47012
Cerquilho;39617
Louveira;37125
Pedreira;41558
Santa Cruz do Rio Pardo;43921
Tremembé;40984
Mairinque;43223
Capão Bonito;46178
Dracena;43258
Pederneiras;41497
Paraguaçu Paulista;42278
Salto de Pirapora;40132
Serrana;38878
Garça;43115
Jardinópolis;37661
Espírito Santo do Pinhal;41907
Presidente Epitácio;41318
Orlândia;39781
Itápolis;40051
Vargem Grande do Sul;39266
Tietê;36835
Ituverava;38695
Novo Horizonte;36593
Socorro;36686
São Manuel;38342
Guaíra;37404
Américo Brasiliense;34478
Promissão;35674
Guariba;35486
Pitangueiras;35307
Presidente Venceslau;37910
Agudos;34524
Iperó;28300
José Bonifácio;32763
Aguaí;32148
Aparecida;35007
Barra Bonita;35246
São Pedro;31662
Cravinhos;31691
Bariri;31593
Rio das Pedras;29501
Ibaté;30734
Adamantina;33797
Ilhabela;28196
Santa Cruz das Palmeiras;29932
Araçoiaba da Serra;27299
Descalvado;31056
Cachoeira Paulista;30091
Morro Agudo;29116
Guararapes;30597
São Miguel Arcanjo;31450
Osvaldo Cruz;30917
Barrinha;28496
Biritiba Mirim;28575
Santa Fé do Sul;29239
Juquitiba;28737
Cândido Mota;29884
Iguape;28841
Igarapava;27952
Casa Branca;28307
Jarinu;23847
Piraju;28475
Guararema;25844
Rancharia;28804
Mirandópolis;27483
Serra Negra;26387
Pilar do Sul;26406
Cajati;28372
Laranjal Paulista;25251
Conchal;25229
Santa Rita do Passa Quatro;26478
Pirapozinho;24694
Dois Córregos;24761
Piracaia;25116
Itaí;24008
Santa Gertrudes;21634
Ilha Solteira;25064
Santa Rosa de Viterbo;23862
Valparaíso;22576
